tweet,sentiment
உன்னைத்தொட்டால் உன்னுள்ளத்தை நொருக்கமாட்டியோ!! என்னைப் போல பெண்ணைப்ப் பார்த்து மயங்க மாட்டியோ!!  #RaOne #chammakChallo #tamilLyrics,Happy
"நதியா நதியா நயில் நதியா
…
இடை தான் கொடியா 
கொடி மேல் கனியா
#RDBurnam #HindMusic #TamilLyrics",Happy
"உறக்கம் விற்று கனவுகள் வாங்கலையா?! #TamilLyrics RT @JanuShath: கனவுகள் விற்றுக் கவிதைகள் வாங்குவதும், கவிதைகள் விற்றுக் காதலை வாங்குவதுமாய்.",Sad
மீண்டும் உன்னை காணும் மனமே ... வேண்டும் எனக்கே மனமே மனமே !!! #TamilLyrics,Sad
உயிரை தொலைத்தேன் அது உன்னில் தானோ ... இது நான் காணும் கனவோ நிஜமோ...அன்பே உயிரை தொடுவேன் உன்னை தாலாட்டுதே பார்வைகள் ! #TamilLyrics,Sad
ஒரு வீதி பத்தாதே. ஊரு பத்தாதே. நாம இறங்கி கலக்கதான் இந்த உலகம் பத்தாதே #Tamillyrics #NEPV,Happy
"அழகளந்திடும் கருவிகள்
செயலிழந்திடும் அவளிடம்
அணியிலக்கணம் அசைவதை பார்த்தேன்! #TamilLyrics",Happy
"கருவோடு வந்தது... 
தெருவோடு போனது... 
மெய்யென்று மேனியை யார் சொன்னது? 
வாழ்வே மாயம்... இந்த வாழ்வே மாயம்! #Vaali #TamilLyrics #RIP",Sad
"அழகான மனைவி, அன்பான துணைவி, அமைந்தாலே பேரின்பமே... மடி மீது துயில, சரசங்கள் பயில, மோகங்கள் ஆரம்பமே... <3 #MyFavourite #TamilLyrics",Happy
"ஒரே ஒரு பார்வை தந்தாலென்ன தேனே  
ஒரே ஒரு வார்த்தை சொன்னால் என்ன மானே
#TamilLyrics",Sad
அவள் சிக்கெடுக்கும் கூந்தலுக்கு சீப்பாக இருப்பேன் #TamilLyrics,Sad
ஓரிரு வார்த்தை தப்பாய் போனால் உதடு கடிப்பாய்… #TamilLyrics,Happy
ஒவ்வொரு வாக்கியம் முடியும்போதும் புன்னகை செய்வாய்… #TamilLyrics,Happy
"சிந்தனையில் வந்துவந்து போறா…
அவ சந்தனத்தில் செஞ்சுவெச்ச தேரா…
#TamilLyrics",Happy
"என்ன நான் கேட்பேன் தெரியாதா… 
இன்னமும் என் மனம் புரியாதா…
#TamilLyrics",Sad
"பெண் கூந்தல் மீது பூவாகட்டா?...
பூ கூந்தல் கலைத்து விளையாடட்டா?…
#TamilLyrics",Sad
"உன் மேல் மற்றொரு பூ விழுந்தால்...
என்னால் தாங்க முடியாது…
#TamilLyrics",Sad
"துலி துலி துலி மழையாய் வந்தலை…
#TamilLyrics",Happy
"கைகள் தொடாமல் கண்களால் நெஞ்சை பந்தாடினாய்…
ரத்தம் வராமல் பார்வையால் என்னை துண்டாடினாய்…
#TamilLyrics",Sad
"வெட்கம் பாடாத பூக்களை வண்டுகள் தொடாதடி..
#TamilLyrics",Sad
"என்னானதோ , ஏதானதோ… 
கண்ணாடி போல் உடைந்திடும் மனது….
#TamilLyrics",Sad
"ஒரு பாதி கதவு நீயடி… 
மரு பாதி கதவு நானடி…
#TamilLyrics",Sad
"இருவரும் ஒரு முறை காண்போமா…
#TamilLyrics",Sad
"புன்னகையில் தீ மூட்டி போனவளே…
#TamilLyrics",Sad
"அடி உனக்கும் உனக்கும் எல்லாம் பிடிக்க என்னை ஏன் பிடிக்காது என்றாய் ?…
#TamilLyrics",Sad
"வெண்ணிலவே வெண்ணிலவே விண்ணை தாண்டி வருவாயா…
#TamilLyrics",Sad
"இவள்தானே எரிமலை அள்ளி…
மருதாணி போல் பூசியவள்…
#TamilLyrics",Sad
"பல்லவன் சிற்பிகள் அன்று பண்ணிய சிற்பத்தில் ஒன்று...
பெண்ணென வந்தது இன்று சிலையே…
#TamilLyrics",Happy
"இந்த அழகைக்கண்டு வியந்து போகிறேன்…
#TamilLyrics",Happy
"சொல்ல நினைதேன் ஆனால் வார்த்தை இல்லை…
உன்னைவிட்டால் யாரும் எந்தன் சொந்தம் இல்லை!…
#TamilLyrics",Sad
"கண் பார்க்கும் போதே பார்வையாலே கடத்தி சென்றாய்..
#TamilLyrics",Sad
"மழை அழகா? வெயில் அழகா?…
கொஞ்சும் போது மழை அழகு…
கண்ணா நீ கோபப்பட்டால் வெயில் அழகு…
#TamilLyrics",Happy
"சற்று தொலைவிலே அவள் முகம் பார்த்தேன்…
அங்கே தொலைந்தவன் நானே…
#TamilLyrics",Happy
"கண்ணுக்குள் இமையாக இருக்கின்றாள் ...
நெஞ்சுக்குள் இசையாக துடிக்கின்றாள் ...
#TamilLyrics",Happy
"என்னை காணும் பொது கண்ணை பார்த்து சொல்லு...
கண்ணே என் போலே நீயும் காதல் கொண்டாயா?…
#TamilLyrics",Sad
"காலங்கள் சென்றாலும் அந்த வானம் போல் விழாதது...
#TamilLyrics",Sad
நீ நின்ற இடமென்றால் விலையேறி போகாதோ... #TamilLyrics,Happy
"லட்சம் பல லட்சம் பூக்கள் ஒன்றாக பூத்ததே...
#TamilLyrics",Happy
"முடியாதுன்னு சொல்ல முடியாது...
முடியாதுன்னு சொல்லக் கூடாது...
#TamilLyrics",Sad
"தேடித் தேடித் தேய்ந்தேனே மீண்டும் கண்முன் கண்டேனே பெண்ணே பெண்ணே..
#TamilLyrics",Sad
"இருவரும் ஒரு முறை காண்போமா...
#TamilLyrics",Sad
"அற்றை திங்கள் அன்னிலவில்...
நெற்றி தரள நீர் வடிய...
கொற்ற  பொய்கள் ஆடியவள் நீயா...
#TamilLyrics",Happy
"அசையும் வளைவுகள் அதிசயமே...
#TamilLyrics",Happy
"உலகில் ஏழல்ல அதிசயங்கள் வாய்பேசும் நீதான் எட்டாவததிசயமே...
#TamilLyrics",Happy
"நிமிஷங்கள் ஒவ்வொன்றும் வருஷங்களாகும்
நீ என்னை நீங்கிச் சென்றாலே...
#TamilLyrics",Sad
"வருஷங்கள் ஒவ்வொன்றும் நிமிஷங்கள் ஆகும்
நீ எந்தன் பக்கம் நின்றாலே...
#TamilLyrics",Sad
"மெய்யாக நீ என்னை விரும்பாத போதும்
பொய் ஒன்று சொல் கண்ணே என் ஜீவன் வாழும்...
#TamilLyrics",Sad
"ஒரு வண்ணத்துப்பூச்சி எந்தன் வழிதேடி வந்தது...
அதன் வண்ணங்கள் மட்டும் இன்று விரலோடு உள்ளது...
#TamilLyrics",Happy
"உன் பேர் மெல்ல நான் சொன்னதும் 
என் வீட்டு ரோஜாக்கள் பூக்கின்றன...
#TamilLyrics",Happy
"இவ்வுலகம் இருண்ட பின்னும் இருளாத பாகம் எது...
கதிர் வந்து பாயும் உந்தன் கண்களடி...
#TamilLyrics",Happy
"மரணம் மீண்ட ஜனனம் நீ!...
#TamilLyrics",Happy
"காதல் என்னும் மந்திரத்தின் மாயமென்ன...
கல்லும் முள்ளும் இப்போது பூவானதே...
#TamilLyrics",Happy
"வானவில்லின் துண்டொன்று மண்ணில் வந்து...
யாருக்கும் சொல்லாமல் பெண்ணானதே...
#TamilLyrics",Happy
"வெங்காட்டு பக்கக்கள்ளி சட்டென்று மொட்டுவிட...
செங்காட்டு சில்லிச்செடி சில்லென்று பூவெடுக்க...
#TamilLyrics",Happy
"எனக்காகவே வந்தாய்
என் நிழல் போலவே நின்றாய்
உனைத் தோற்று நீ என்னை வென்றாயே...
#TamilLyrics",Happy
"நீ தினம் சீரிச்சா போதுமேமே... 
வேறு எதுவும் வேணாமே...
#TamilLyrics",Happy
"அவள் அழகைப் பாட ஒரு மொழி இல்லையே..
அளந்து பார்க்க பல விழி இல்லையே..
என்ன இருந்த போதும் அவள் எனதில்லையே..
மறந்து போ என் மனமே..
#TamilLyrics",Sad
"இவள் கண்ணில் மிதப்பது என்ன கலையோ...
சிரிக்கும் போது சிலிர்த்து கொண்டேன்...
இவள் சிந்திய சிரிப்பினை மடியில் ஏந்தி கொண்டேன்...
#TamilLyrics",Happy
"பிறந்த மண்ணை அள்ளி தின்றேன்... உன்னை காணும் முன்பு, 
நீ நடந்த மண்ணை அள்ளி தின்றேன்... உன்னை கண்ட பின்பு
#tamillyrics",Sad
"என் வானத்தில் சில மாற்றங்கள்,
வெண்மேகத்தில் உன் உருவங்கள்,
என் காற்றிலே உன் சுவாசங்கள்,
நான் பறந்து போகிறேன்...
#tamillyrics",Happy
"எங்கும் சாந்தி நிலவ வேண்டும். வாழ்வில் சக்தி ஓங்க வேண்டும்.
#peace #Tamil #Tamillyrics",Happy
"RT RajiniNathan: எங்கும் சாந்தி நிலவ வேண்டும். வாழ்வில் சக்தி ஓங்க வேண்டும்.
#peace #Tamil #Tamillyrics",Happy
"பணமிருக்கும் மனிதரிடம் மனம் இருப்பதில்லை,
மனம் இருக்கும் மனிதரிடம் பணம் இருப்பதில்லை,
#TheMeaningOfLife #tamillyrics",Sad
"மலர்களை அள்ளி வந்து மகிழ்வுடன் கையில் தந்து
மனதினை பகிர்ந்திடவே ஆசை கொள்கின்றேன் #YennaiArindhaal #Thamarai #TamilLyrics",Sad
"கண்ணழகா..காலழகா 
பொன் அழகா ..பெண் அழகா
எங்கேயோ தேடி செல்லும் விரல் அழகா?
என் கைகள் கோர்த்து கொள்ளும் விதம் அழகா?
Beautiful #TamilLyrics",Happy
நகரும் நொடிகள் கசை அடி போல முதுகின் மேல விழுவதுனாலே.. வரி வரி கவிதை..!  தள்ளி போகதே! @aymthemovie #Tamil #tamillyrics #STR #aymtrailer,Sad
RT dinesh_here: நகரும் நொடிகள் கசை அடி போல முதுகின் மேல விழுவதுனாலே.. வரி வரி கவிதை..! தள்ளி போகதே! aymthemovie #Tamil #tamillyrics #STR #a…,Sad
RT LavanPath: விதி என்னும் நூலில் விளையாடும் பொம்மை. #TamilLyrics #Tamil #Quote #Thoughts,Sad
RT LavanPath: எந்தன் சோகம் உன்னைத் தாக்கும் என்றெண்ணும் போது வந்த அழுகை நின்றது. #TamilLyrics #Tamil #Quote #Thoughts #Poetry,Sad
"RT LavanPath: எதை நாம் இங்கு கொண்டு வந்தோம், எதை நாம் அங்கு கொண்டு செல்வோம். #TamilLyrics #Tamil #Quote #Thoughts #Poetry",Sad
RT LavanPath: தள்ளி தள்ளி நீ இருந்தால் சொல்லிக்கொள்ள வாழ்கை இல்லை. #TamilLyrics #Tamil #Quote #Thoughts #Poetry,Sad
"#tamillyrics இனிது, 
சாலையெங்கும் மலர்களின் மாநாடு 
பெண்கள்தானே கண்களின் சாப்பாடு 
மனதுக்குள் புதியத்தொல்லை 
அதன் பேர்ச்சொல்லத் தெரியவில்லை",Happy
"இருள் கொண்ட வானில் 
இவள் தீப ஒளி....
கடையும் இந்தப் பாற்கடலில்
நஞ்சார்?அமுதார்?மொழி....#tamillyrics  pic.twitter.com/VRunam5KjS",Sad
"#tamillyrics
நான் பிறக்கும் முன்னே அட நீ பிறந்ததேன்
நான் பிறக்கும்போது நீ உந்தன் கையில் என்னை ஏந்தத்தானோ  pic.twitter.com/Jff4k4d4aL",Happy
"#tamillyrics புயல் அடித்தால் கலங்காதே
நான் பூக்கள் நீட்டுகிறேன்
எதை நீ தொலைத்தாலும்
மனதை தொலைக்காதே....
பேசுகிறேன் உன் இதயம் பேசுகிறேன்...  pic.twitter.com/7kDg2JKqLQ",Sad
"#tamillyrics 
என் மனம் கானலின் நீரென ஆகுமா
கைகளில் சேருமா அன்பே
நேசிக்கும் காலம் தான் வீண் என  போகுமா
நினைவுகள் சேர்க்கிறேன் இங்கே  pic.twitter.com/1RXh0u0X0F",Sad
"#tamillyrics 
தாய் முகம் பார்த்த நாள் தாவனி போட்ட நாள்
மறக்குமா நெஞ்சே
மழைதுளி ரசித்ததும் பனித்துளி ருசித்ததும்
கரையுமா கண்ணில்  pic.twitter.com/jX1XN9Alyu",Happy
"கண்ணீர் துளிகளின் ஆழம் இது கடலைவிடவும் பெரிதல்லவா 🎼🎵🎶
#TamilLyrics",Sad
"காயம் தனக்கென்றால் அவன் கத்தல் தாங்காது
காயம் பிறர்க்கென்றால் அவன் காதுகள் கேட்காது 🎶🎼
#உண்மை #TamilLyrics",Sad
"தனியாக நடமாடும் பிடிவாதம் உனது. 
நிழலோடும் உரசாத தன்மானம் எனது... 
#tamillyrics
#lovesad
#oxygenthanthale
#தமிழ்க்கவிதை",Sad
"பெண்ணே உனது மெல்லிடை பார்த்தேன்
அடடா பிரம்மன் கஞ்சனடி
சற்றே நிமிர்ந்தேன் தலைசுற்றிப் போனேன்
ஆஹா அவனே வள்ளலடி.. 

#tamillyrics #arrahman #vairamuthu @lyricsinbox",Happy
அன்பு படர்ந்த கொம்பினிலே ஒரு அகந்தைக் குரங்கு தாவும் - அதன் அழகைக் குலைக்க மேவும் கொம்பும் ஒடிந்து கொடியும் குலைந்து குரங்கும் விழுந்து சாகும் சிலர் குணமும் இது போல் குறுகிப் போகும்.... #TamilLyrics,Sad
"காயம் பட்ட இதயத்தில்
காதல் இன்னும் வாழுதே
கேள்வியாக கேட்கிறேன்
நிலை மாறுமா.?
நிஜம் சேருமா.?
நினைத்து நினைத்து
வாழ்ந்து என்தன்
வாழ்நாள் கூட தீருமா.?

சக்திராகவா

 https://www.facebook.com/sakthikavithai 
#சக்திராகவா #கவிதை #love #lyrics #sakthikavithai #sakthiragava #kavithai #tamil #tamillyrics  pic.twitter.com/Ha5eaimd2S",Sad
"எனக்கான பாதை தேடி
எனக்கென்ன என்றே போனேன்
எனக்காக வந்தாயே என்னுயிரே!

எனக்காக வந்தாய் என்று
எதிர்காலம் கையில் தந்தேன்
எதிர்ப்பார்த்து நானும் நின்றேன்
நீ எங்கே??

சக்திராகவா

#சக்திராகவா #கவிதை #love #lyrics #sakthikavithai #sakthiragava #kavithai #tamil #tamillyrics #lyricist pic.twitter.com/i82Ja2FnIZ",Sad
நல்ல வழி நீதான் சொல்லி என்ன லாபம்? சொன்னவனத்தானே சூழ்ந்ததின்று பாவம்!… #DevarMagan #tamilLyrics,Sad
"எனது கைகள் மீட்டும் போது வீணை அழுகின்றது
எனது கைகள் தழுவும் போது மலரும் சுடுகின்றது
என்ன நினைத்து என்னை படைத்தான் இறைவன் என்பவனே
கண்ணை படைத்து பெண்ணை படைத்த இறைவன் கொடியவனே! #TravelSongs #Kannadasan #tamillyrics",Sad
"தன்னைப்போல பிறரை எண்ணும் தன்மை வேண்டுமே
அந்த தன்மை வர உள்ளத்திலே கருணை வேண்டுமே
பொன்னைப்போல மனம் படைத்தால் செல்வம் வேறில்லை
இதை புரிந்து கொண்ட ஒருவனை போல் மனிதன் வேறில்லை! #TravelSongs #Kannadasan #tamillyrics",Sad
"நட்சத்திர ஆடையில் ஒரு நிலா வந்ததே...
முட்கள் இல்லா ரோஜாப்பூ போன்ற பாதத்தில்
அன்னம் அவள் நடக்கையில்
என் உள்ளம் சிதரியதே....

#tamilLyrics #Vijay62 #LoveSong",Happy
"மேகங்களே மழையினை சிறை செய்யுமா மரங்களே மைனாவுக்கு ஒர் வலை ஆகுமா 
பட்டாம்பூச்சி ரயில் தடம் மேலே பறக்குமா 
வேரின் மேலே வெண்ணீர் விட்டால் பூ பூக்குமா

#TamilLyrics #Englishkaran",Happy
"உன் கண்கள் தூவும் காதல்
என் தூக்கம் கெடுத்து மோதல்,
காற்று வீசலில் நடனம் ஆடுதே உன் கூந்தல் 
நன்றியுடன் உன் அழகை மட்டும் ரசிக்குதே என் காதல்.
#MeghaAkash #ENPT #TamilLyrics #ArumugamStudios pic.twitter.com/K1NUkInSFB",Happy
"எண்ணம் முழுவதும் 
நீயே எங்கும் ,
உன்னை காண 
கண்கள் இரண்டும் ,
காத்திருக்கிறேன் 
நம் காதல் தொடர வேண்டும் .
#ENPT #Dhanush #TamilLyrics #ArumugamStudios pic.twitter.com/1irnzdgcbp",Sad
"உரலு ஒன்னு அங்க இருக்கு உலக்க ஒன்னு இங்க இருக்கு
ந்நெல்லு குத்தும் நேரம் எது சொல்லுடி என் சித்திரமே
பல்லு குத்தும் பவுசு இல்லை பாவம் நீதான் விடல பையன்
நெல்லு குத்த இடம் கொடுத்தா மாட்டிக்குவ ஒரலுக்குள்ளே #tamilLyrics",Sad
"துயர் #நான் கொண்டேன்,

உன் கண்களில் #நீர் எதற்கு வானமே?

#ChennaiRain #ChennaiRains #Rain #Rains #Poem #Tamilpoem #Tamillyrics #Tamil #தமிழ் #தமிழ்மொழி #தமிழ்கவிதை #கவிதை #கவிதைகள் #ஓர்வரிகவிதை #மழைநீர் #இயற்கை #natural #தமிழன் #svenkatnews #கண்ணீர்துளிகள் #கண்ணீர்கவிதை #Feelings",Sad
"#Machakanni #tamillyrics 👉  http://bit.ly/machakanniSeemaRajaLyrics …
🌟மச்சக்கன்னி கொஞ்சம்
கேட்டு பாரேன் என்ன பத்தி.
குண்டு கட்டா  தட்டி தூக்க
போறேன் கண்ண பொத்தி.🌟
#DImman #SeemaRaja #tsonglyrics #SeemaRajaFromToday",Happy
"#Machakanni #tamillyrics 👉  http://bit.ly/machakanniSeemaRajaLyrics …
🌟மச்சக்கன்னி கொஞ்சம்
கேட்டு பாரேன் என்ன பத்தி.
குண்டு கட்டா  தட்டி தூக்க
போறேன் கண்ண பொத்தி.🌟
#DImman #SeemaRaja #tsonglyrics #SeemaRajaFromToday #SeemaRajaReview",Happy
"வழிபோக்கனின் வாழ்விலே நிழலாக வருகிறாய்... நான் கேட்க்கும் முன்னவே இளைப்பாறல் தருகிறாய்
#பிடித்தவரிகள்
#TamilLyrics",Happy
"என் காதல் மனம் துண்டுத் துண்டாய் உடையக் கண்டேன் 
துண்டு துண்டாய் உடைந்த மனத் தூள்களையெல்லாம்
அடி தூயவளே உனக்குள் 
தொலைத்து விட்டேன்

#ajith #thala #favorite #tamillyrics @ThalaAjith_FC pic.twitter.com/3qTw60BF8z",Sad
"பிறையில் வளர்வதும் பிறகு தேய்வதும்
ஒரே நிலவு
உறவில் கலப்பதும் பிரிவில் தவிப்பதும்
ஒரே மனது
பருவ வயதிலே இரவும் பகலும் விரகம்
நரகம் சரணம் சரணம்

நானே நானா யாரோ தானா ?.......

😍😍😍😍😍
#TamilLyrics #VaniJayaramanVoice #VaniJayaraman",Sad
"👉 http://bit.ly/visiri-lyrics 
♥️தேன்  முத்தங்கள் மட்டுமே
போதும் என்று சொல்வதால்
தொடாமல் போகிறேன்♥️
#dhanush #ENPT #EnaiNokiPaayumThota #vadachennai #gvm #gauthamvasudevmenon
#love #romance #melody #sidsriram #lyrics #tamillyrics #kollywood pic.twitter.com/DCj1mNh1Rk",Happy
"உன் கிட்ட படிச்சி
படிச்சி சொன்னேனே
கேட்டியா யார் கூப்டு நீ
போன ஏன் டி போன
எத்தன தடவ சொல்லி
இருக்கேன் எல்லா மனுசனும்
இங்கே ஒன்னு இல்லன்னு

வளத்து அணைக்குறவன்
கழுத்த நெரிக்கிறவன் கண்ண
தடவுறவன் கால நொடிக்கிறவன்
கொன்னு சிரிக்கிறவன் நின்னு
அழுகுறவன்

#AdiKaruppi #TamilLyrics",Sad
"எந்திரி கருப்பி
அம்மா கூப்புடுறா குளிக்க
போகணும் எந்திரிடி ஏன் டி
பேசல என் கூட என்னடி
நடந்திச்சி அங்க

வலிய தாங்காம
துடிச்சியா கடைசி நிமிஷம்
என்ன நெனைச்சியா உன்ன
கொல்லும் போது அவன்
சிரிச்சானா நீ கொரைக்கும்
போது அவன் மொறைச்சானா

#AdiKaruppi #TamilLyrics",Sad
"#TamilLyrics
தினமும் நீ குளித்ததும்
என்னை தேடி என் சேலை நுனியால் உந்தன் தலை 
துடைப்பாயே அது கவிதை",Happy
"உன்னை கலந்த பின் நான் சென்று குளித்தால்..

 கடல் நீர் குடிநீர் ஆகுமடி..

#TamilLyrics #Vairamuthu https://twitter.com/karthikeyan1958/status/1074503770833182720 …",Happy
நான் வீழ்வேன் என்று நினைத்தாயோ!! @RevathiRadhakr3 @vadivel85 #barathiyar #barathiyarkavithaigal #tamil #tamillyrics #tamilan #tamilstatus #instagram #thursdayquotes #likeforlikes #positivevibes #positivequotes #tamiltype pic.twitter.com/J6TdnxhDl3,Happy
"சிலர் ஆசைக்கும்
தேவைக்கும் வாழ்வுக்கும்
வசதிக்கும் ஊரார் கால்
பிடிப்பார்

ஒரு மானமில்லை
அதில் ஈனமில்லை அவர்
எப்போதும் வால் பிடிப்பார் 
     - HBD MGR 💛
#MGR #MGRBirthday #MGR102 #HappyBirthdayMGR #Tamilnadu #TamilLyrics #பொங்கல்நல்வாழ்த்துக்கள் pic.twitter.com/mDZQxUQJ3D",Sad
"உன் புன்னகை நான் சேமிக்கின்ற
செல்வமடி.........
#prabhudeva #pennin_manathai_thottu #nycsong #tamillyrics #soulful  https://www.instagram.com/p/BvUDB51gqVLBN4iiQLqJ_QoP8BcqS6_ntUoHpg0/?utm_source=ig_twitter_share&igshid=t9tr6hchoeif …",Happy
"கொட்டும் அருவியாய் கொலுசு சத்தமும் காற்றின் அசைவாய் வளைவி சத்தமும்
ஓடும் நதியாய் சிரிப்பு சத்தமும்
மூங்கில் இசையாய் மூச்சு சத்தமும்
தேனினும் மதுரமாய் முனகும் சத்தமும்
குயிலின் மொழியாய் ஆசை முத்தமும் ஒலித்தாள் போதும் சித்தமே!

#poetry #tamil #tamilpoem #tamillyrics #lyrics",Happy
"பேசாத பாஷையாய்
உன் தீண்டல் ஆகுதே
தானாக பேசும்
என் மௌனம் இனி.. இனி

#DearComrade #DearComradeSecondSingle
#Pularaadha
#TamilLyrics
#VijayDeverakonda #Rashmikamandanna #JustinPrabhakaran 

4/4",Happy
"🎼அன்பை_அளந்திட_எந்த_மொழியும்_போதாது...😍❤😍❤😍❤
#sivappumanjalpachai
#sasi #yazhi #sisbro #brosis #brosislove #familylove #tamilcinima #tamilcini #gv #gvprakashfanpage #gvprakash #tamilmoviesong #tamillyrics…  https://www.instagram.com/p/ByepHvWgMR2/?igshid=f402i9vpzx4s …",Happy
"🎼அன்பை_அளந்திட_எந்த_மொழியும்_போதாது...😍❤😍❤
#sivappumanjalpachai #sasi #yazhi #gvprakashfanpage #gv #gvprakash #tamilcinima #tamilcini #tamilbgmlovers #tamilmoviesong #tamilbgm #tamillyrics #tamiltrending…  https://www.instagram.com/p/ByeqPxagnU1/?igshid=1ilh6ule0opw5 …",Happy
"எட்டி போகாதே என்னை விட்டு,
என் உயிர் இருப்பதோ உன்னை சார்ந்து.
கலங்க வைக்காதே கொஞ்சி விட்டு,
நான் வாழும் வாழ்க்கையை உன் நினைவை இட்டு. #Tamillyrics #Tamipoets #ArumugamStudios #ENPT #Dhanush pic.twitter.com/uI9NPRGowb",Sad
"நீரின்றி அமையாது உலகு,
நீயின்றி அமையாது என் வாழ்வு. ♥️
#ENPT #Dhanush #Tamillyrics #ArumugamStudios pic.twitter.com/pX7kBlGe4j",Sad
"முயற்சி ஒன்று தான் நம் வாழ்வின் முதுகெலும்பு
.
.
.
.
.
.
.
.
.
.
.#kollywood #kollywoodcinema #kollywoodactress #tamillyrics #tamilactress #tamilcomedy #kollywoodactor #vijaysethupathi #thalapathy #viswasam #samantha #tamilsong #tamilmotivation #tamilmovies #tamilmovie pic.twitter.com/6V6BPKBAKq",Happy
"வழியில் உன் வழியில் 
வந்து நடந்தேன் அந்த நொடியில் என் வழித்துணை நீதான் என்று 
நிழல் சொன்னதே... 💕💞 #tamilsonglyrics #tamillyrics",Happy
"வாழ்க ஆசிரிய பெருமக்கள்!
.
.
.
#teachersday #teachersdayspecial #teachersofinstagram #teachersday2019 #worldteachersday #tamilkavithaigal #tamilbooks #bookstagram #tamily #tamilkavithai #books #booksreview #tamillyrics  https://www.instagram.com/p/B2CFAl8BPFY/?igshid=pmqze0vcqlda …",Happy
"🎸:தேடும் முன்பே
வந்த பொருள் வாழ்வில்
நிலைப்பதில்லை தேடி
தேடி கண்ட பொருள்
எளிதில் தொலைவதில்லை🎶🎵
🎼🎼🎼
🎸: இசை பாட்டும்
காற்றும் சேர்ந்த பின்பு
பிரிவதில்லை🎶🎼
#tamillyrics 📝✌️
#thullathamanamumthullum 😊✌️
✌️Happy ☀️ Day........

#Vijay 😎 #Samantha ♥️ pic.twitter.com/uiTGE06Hb8",Sad
"நடிகைக்கு சிறுவயதில் ஏற்பட்ட சோக கதை,  https://bit.ly/2mdJUri  #tamilactress #tamil #kollywood #tamilcinema #thalapathy #tamillyrics #tamilsonglyrics #tamilmemes #tamilstatus #tamillove #love #kollywoodcinema #tamilactor #tamilsong #teluguactress #tiktok #vijay #tollywood pic.twitter.com/vTAiJQMvet",Sad
பாசம் இல்லையா😒,Sad
ஒத்தையா பொறந்துட்டு அண்ணே தங்கச்சி பாசம் என்னன்னு தெரியாம இருக்குறது சாபம் அதுவும் தங்கச்சி ங்குற உறவு இல்லாதது இருக்கே😌 பெரும் சாபம் #verified,Sad
"#NammaVeettuPillai
அப்பா இல்லாத மகனாக பல பேரின் நகலாக இந்த கதாப்பாத்திரத்தில் @Siva_Kartikeyan அண்ணா நடித்துள்ளார் ஒவ்வொரு குடும்பத்தின் பாசம் கவலை எல்லாவற்றையும் நினைவுபடுத்தும் படம் @pandiraj_dir சிறப்பான இயக்கம் அதில் வரும் காட்சி அனுபவித்த ஒவ்வொரு வரும் கண்ணீர் விட்டு படைப்பு",Sad
"#NammaVeettuPillai

My  review 🌟🌟🌟🌟
@Siva_Kartikeyan  அண்ணா படம் கண்டிப்பா BB தான் பேமிலி  கூட்டம்  கூட்டமா  வர போது #Viswasam படத்துக்கு அப்றமா 🤩🤩🤩

  அண்ணா தங்கச்சி  குடும்பம்  பாசம் அவ்ளோ அழகா இருந்துச்சு 💓💓💓
@immancomposer  sir மியூசிக்  செம்ம சாங்ஸ்  👌👌",Happy
"யார் மேலயும் இங்க பாசம் பாயாசம் எல்லாம் வைக்க கூடாது
ன்னு கத்துக்கிட்டேன்..  https://twitter.com/_Inshira_/status/1177523561147162626 …",Sad
"அண்ணண்-தங்க பாசம், பாசமலர் part2னு சொல்லி ஜவ்வா இழுத்து வெச்சிறுக்காய்ஙக.. அதுவும் climaxலாம்...😭 #NammaVeettuPillai",Sad
நாமெல்லாம்  வேலை சோறு தூக்கம் னு இருந்துக்கணும்....இந்த பாசம் அன்பு எல்லாம் நமக்கு இருக்கவே கூடாது....  pic.twitter.com/8asIHPRfDJ,Sad
"திமுக கட்சி காரனுங்க  தமிழ்நாட்டுல பொது மக்களை யாரை தாக்குனாலும்.. 

தாக்கப்பட்டவன்  தமிழனா தான் இருப்பான்..... தமிழ்நாட்டுல இருக்குற ஒரு தெலுங்கன் மேலயும் திமுகா  கை வைக்காது... 

அது தான் இரத்த பாசம்... 

#தெலுங்கர்ஸ்டாலின்...",Sad
துளசி @aishu_dil கேரக்டர் 100% பக்கா...ஆக்டிங் செம்ம...அண்ணன் தங்கச்சி பாசம் காட்றதுலருந்து அழுகுறது வரைக்கும்...தமிழ்சினிமாவின் குட்டி ராதிகா😍😍👌👌👌👌நட்டி சார் அவருடைய ரோல் பக்காவா பண்ணிருக்காரு....ஹீரோயின் ரோல்ம் செம்ம..😍படத்த பாருங்க தியேட்டர்ல போய் #NammaVeettuPillai,Happy
நாய் மீது என்ன பாசம் @shraddhakapoor pic.twitter.com/ubVmxdEmE7,Happy
இது அந்த குழந்தைகளின் மீதுள்ள பாசம் இல்லை ஆதித்தியநாத் மீதுள்ள வெறி,Sad
